label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
がめん,true,画面,"ウィンドウ, ダイアログ, モーダル",,"[""recuyZUYZxqRrVbeB""]",画面,/モーダルウィンドウ|モーダルダイアログ|ウィンドウ|ダイアログ|モーダル/,アプリケーションの操作画面は「画面」で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/#recuyZUYZxqRrVbeB-0,"別ウィンドウで開く,削除ダイアログ,モーダルを閉じる","別画面で開く,削除画面,画面を閉じる","[""定義済""]",,recz0dfmniPZObCVI,true,true,,kuny
かんりしゃさま,,管理者さま,管理者様,"[""recWCPX1UhchVaFjO""]","[""recmtqX0vFmEftHk2""]",管理者さま,管理者様,お客さま、管理者さま、担当者さま、ユーザーさまを使い分ける,管理者さま,管理者様,"[""別の行で定義""]",,recHIIRu6SnFyZsnU,,,,
ぎがばいと,,GB,ギガバイト,,"[""recmk5vIbS65cWjA6""]",GB,ギガバイト,ファイルサイズは基本的に英字2文字で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/#recmk5vIbS65cWjA6-0,ギガバイト,GB,"[""定義済""]",,rec14ESrmCzUEPyM8,true,true,,keroyama
きぎょうあかうんと,true,企業アカウント,テナント,,"[""reclmu4XVUXg51Y0p""]",企業アカウント,/テナント(?!ID)/,「企業アカウント」と表現し、「テナント」の使用は控える https://smarthr.design/products/contents/idiomatic-usage/usage/,テナント,企業アカウント,"[""定義済""]",,recLD6SGDN1YlGH0r,,true,,
きろばいと,,KB,キロバイト,,"[""recmk5vIbS65cWjA6""]",KB,キロバイト,"ファイルサイズは基本的に英字2文字で表記する
https://smarthr.design/products/contents/idiomatic-usage/usage/#recmk5vIbS65cWjA6-0",1キロバイト,1KB,"[""定義済""]",,recvcfMgckdZKYBon,,true,,aguringo
くえり,,クエリ,クエリー,,"[""recKk3i3NODrXp6D3""]",クエリ,クエリー,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,クエリー,クエリ,"[""定義済""]",,rec74jL4Dz7yaGLUN,,true,,
ください,,ください,下さい,"[""recWCPX1UhchVaFjO""]",,ください,下さい,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,下さい,ください,"[""定義済""]",,recawRZOeupB4AM9k,,true,,
くわしく,true,詳しく,くわしく,,,詳し,くわし,,くわしくは,詳しくは,"[""定義済""]",,rec6DgxHjZep44H09,,true,,
ごぞんじ,,ご存じ,ご存知,"[""recWCPX1UhchVaFjO""]",,ご存じ,ご存知,平仮名にしたほうが読みやすい漢字は平仮名にする https://smarthr.design/products/contents/writing-style/,ご存知,ご存じ,"[""定義済""]",,recOX3nNJ9AhLrd7a,,true,,
こと,,こと,事,"[""recWCPX1UhchVaFjO""]",,こと,/(?<![記|大|仕|返|無|食|見|議|当])事(?!情|件|前|後|象|例|実|体|態|項|務|業|柄|故)/,平仮名にしたほうが読みやすい漢字は平仮名にする,"設定された事により,発生する事があります,記事,事件","設定されたことにより,発生することがあります,記事,事件","[""外部プラグインで定義済""]",,recFdaJC14sJ97tUz,,,,
